Abbreviations,Meaning
FET,Field-Effect Transistor
FFDM,Function Failure Design Method
FFT,Fast Fourier Transform
FFU,Filter Fan Unit
FG,Finished Goods; Forming Gas
FI,Filterability Index; Factory Integration
FIA,Field Interferometer Alignment
FIB,Focused Ion Beam
FICS,Factory Information And Control Systems
FID,Flame Ionization Detector
FIDAP,Fluid Dynamics Analysis Package
FIFO,First-In
FIM,Field Ion Microscope
FIMA,Factory Integration Maturity Assessment
FIMS,Front-Opening Interface Mechanical Standard
FIT,Failure Unit; Failure In Time
FITS,Failures In Time
FL,Fuzzy Logic
FLASH,Flash Memory Device
FLOODS,Florida Object-Oriented Device Simulator
FLOOPS ,Florida Object-Oriented Process Simulator
FLOPC,Floating Point Operations Needed Per Cycle
FLOTOX,Floating Gate Tunnel Oxide
FLRT,Factory Layout/Relayout Tool
FM,Foreign Material
FMA,Failure Mode Assessment
FMEA,Failure Mode And Effects Analysis
FMECA,Failure Mode  Effect and Criticality Analysis
FMEDA,Failure Modes Effects and Diagnostic Analysis
FMI,Fluorescent Microthermal Imaging
FMMC,Factory Material Movement Component
FMMEA,Failure Modes Mechanisms and Effects Analysis
FMS,Forms Management System; Facility Management System
FMVP,Framework Member Validation Project
FMo,Thyristors Failure Mode
FMos,Failure Modes
FMs,Failure Mechanisms
FNN,Feed-Forward Neural Network
FO,Fan-Out
FO INV,Fan Out Inverter
FO4 INV,Fanout-Of-4 Inverter
FOCS,Fiber Optic Chemical Sensors
FOSB,Front Opening Shipping Box
FOUP,Front Opening Unified Pod
FOV,Field Of View
FOWLP,Fan-Out Wafer Level Package
FOX,Field Oxide
FP,Flash Point
FPBGA,Flip-chip Ball Grid Array
FPD,Focal Plane Deviation; Flat Panel Display
FPGA,Field-Programmable Gate Array
FPLA,Field-Programmable Logic Array
FPLF,Field-Programmable Logic Family
FPLS,Field-Programmable Logic Switch
FPM,Flexual Plate Mode
FPMS,Factory Performance Modeling Software
FPNI,Field Programmable Nanowire Interconnect
FPROM,Field-Programmable Read-Only Memory
FQA,Fixed Quality Area
FRACAS,Failure Reporting
FRAM,Ferroelectric Ram
FRAME,Failure Rate Analysis And Modeling
FRMB,Fast Ramp Mini Batch
FS,Fused Silica; Factory Systems
FSE,Field Service Engineers
FSG,Fused Silica Glass; Fluorinated Silicate Glass
FSM,Finite State Machine
FT,Final Test; Fourier Transform
FTA,Fault Tree Analysis
FTAB,Focus Technical Advisory Board
FTICR,Fourier Transform Ion Cyclotron Resonance Spectroscopy
FTIR,Fourier Transform Infrared Spectroscopy
FTP,Fast Thermal Processing
FTTF,First Time To Failure
FUSI,Discharge Fully Silicided
FW,Full Wave
FWHM,Full-Width Half-Maximum
FWT,Fluoride Wastewater Treatment
FZ,Float Zone
Fab,Fabrication
Fe,Iron
FeRAM,Ferroelectric Ram
FinFET,Fin Structure Field Effect Transistor
Fm,Fermium
Fmax,Maximum Frequency At Unity Power Gain; Maximum Frequency Of Oscillation
Fmin,Minimum Noise Figure
FoM,Figures Of Merit
Fr,Francium
Fs,Sample Rate
GAC,Granular Activated Carbon
GAE,Gas-Assisted Etch
GALS,Globally Asynchronous And Locally Synchronous
GASAD,Gate And Source And Drain
GB,Gigabyte
GC,Gas Chromatography; Gravimetric Calibrator
GCC,Generic Cell Controller
GCD,Gas Chromatography Distillation
GCMS,Gas Chromatography Mass Spectroscopy
GCR,Generalized Cambridge Ring
GDP,Gas Distribution Plate
GDPP,Gas Drive Plasma Pinch
GDS,Generalized Data Stream; Graphical Design System; Graphical Design Software
GEM,Generic Equipment Model
GEMVS,Gem Verification System
GES,Generic Equipment Simulator
GFA,Gas Fusion Analysis
GFAAS,Graphite Furnace Atomic Absorption Spectrometry/Spectroscopy
GFC,Gas Filter Correlation
GFCI,Ground Fault Circuit Interrupter
GFIS,Gas Field Ion Source
GHG,Greenhouse Gas
GHz,Gigahertz
GI,Global Irrigation
GIDL,Gate-Induced Drain Leakage
GILD,Gas Immersion Laser Doping
GIQLP,Industry Quality Liaison Panel
GIS,Gas Injection System
GJG,Global Joint Guidance
GLC,Gas Liquid Chromatography
GMR,Giant Magneto Resistance
GND,Ground
GOF,Goodness Of Fitness
GOI,Gate Oxide Integrity
GOPS,To Be Filled In
GPIB,General-Purpose Interface Bus
GPM,Gross Profit Margin
GPRS,General Packet Radio Service
GPS,Global Positioning System
GRC,Gas Reactor Column
GRTV,Graphite Rapid Thermal Vulcanization
GSCE,Gas Source Control Equipment
GSCI,Generated Subordinate Carrier Injection
GSM,Global Standard For Mobile
GSPID,Gain-Scheduled Proportional Integro-Differential
GTO,Gate-Turn-Off
GTS,Gem Test System
GUI,Graphical User Interface
GWIM,Global Warming Impact Model
GWLE,Good Wafer Level Exposure
GWP,Global Warming Potential
Ga,Gallium
GaAs,Gallium Arsenide
GaN,Gallium Nitride
Gassoc,Associated Gain
Gb,Gigabit
Gb/s,Gigabit Per Second
Gce,Transconductance Between Collector And Emitter Gcib
Gd,Gadolinium
Gds,Transconductance Between Drain And Source
Ge,Germanium
Gi-XRR,Grazing Incidence X-Ray Reflectivity
Gm,Transconductance Between Drain And Gate
H,Hydrogen
HAC,High Aspect Contact
HALT,Highly Accelerated Life Testing
HAP,Hazardous Air Pollutant
HAR,High Aspect Ratio
HARC,High Aspect Ratio Contact
HARI,High Aspect Ratio Inspection
HASS,Highly Accelerated Stress Screening
HAST,Highly Accelerated Stress Testing
HASTs,Highly Accelerated Stress Tests
HAZCOM,Hazard Communication Standard
HB,Horizontal Bridgeman Crystal
HBM,Human Body Model
HBT,Heterojunction Bipolar Transistor
HBTs,The Heterojunction Bipolar Transistors
HC,Hot-Carrier
HCD,Hot-Carrier Degradation
HCI,Hot Carrier Injection
HCM,Hollow Cathode Magnetron
HCMOS,High Density Complementary Metal-Oxide Semiconductor
HCS,Hot-Carrier Suppressed
HCl,Hydrochloric Acid
HD,High Density
HDD,High Density Disk
HDL,Hardware Description Language
HDP,High Density Plasma
HDPE,High Density Polyethylene
HE,High Energy
HEM,High Efficiency Matching
HEMT,High Electron Mobility Transistor
HEMTs,The High Electron Mobility Transistors
HEPA,High Efficiency Particulate Air
HEX,Heat Exhaust
HF,Hydrofluoric Acid
HFET,Heterojunction Field Effect Transistor
HFETs,Gan Heterojunction Field Effect Transistors
HFRR,Hydrofluoric Acid Reprocessor Return System
HI,Holographic Interferometry
HIBS,Heavy Ion Backscattering Spectrometry
HICs,Hybrid Integrated Circuits
HIM,Heated Injection Manifold
HLF,Horizontal Laminar Flow
HMDS,Hexamethyldisilizane
HMIS,Hazardous Materials Inventory Statement
HMMP,Hazardous Materials Management Plan
HMOS,High Performance Mos; High-Density Mos
HOMER,Hazardous Organic Mass Emission Rate
HOPG,Highly Oriented Pyrolitic Graphite
HP,High-Performance; High Purity
HPCC,High Performance Computing And Communicating
HPEM,Hybrid Plasma Equipment Model
HPL,High Performance Logic
HPLC,High Performance Liquid Chromatography
HPM,Hazardous Production Materials; High Purity Metal; Hydrochloric Peroxide Mix
HPV,High Pressure Vent
HR,High Resolution
HRA,Human Reliability Analysis
HREM,High Resolution Electron Microscopy
HRR,High Ramp Rate
HRTEM,High Resolution TEM
HRTEM ,High Resolution Transmission Electron Microscopy
HSFR,High Spatial Frequency Roughness
HSMS,High Speed Messaging Services
HSQ,Hydrogen Silsesquioxane
HTDR,High Temperature Data Retention
HTF,High Temperature Film
HTH,Head-To-Head
HTL,High Threshold Logic
HTO,High Temperature Oxidation
HTOL,High Temperature Operating Life
HTRB,High Temperature Reverse Bias
HTU,Height Of Transfer Unit
HUPW,Hot Ultrapure Water
HV,High Voltage
HVAC,Heating
HVC,High Value Compound
HVM,High Volume Manufacturing
HVP,High Volume Production
HVPE,Hydride Vapour Phase Epitaxy
HVST,To Be Filled In
HW,Hardware
HWS,Heating Water System
HY,Hybrid
He,Helium
Hf,Hafnium
Hg,Mercury
HiPOx,High-Pressure Oxygen
Ho,Holmium
I-V,Current Voltage
I/O,Input/Output; In/Out
I2L,Integrated Injector Logic
I300I,International 300 Mm Initiative
IA,Instrument Air
IAEA,International Atomic Energy Agency
IBF,Ion Beam Figure
IBM,International Business Machine
IC,Integrated Circuit; Investment Council; Ion Chromatography
ICAP,Inductively-Coupled Argon-Plasma Spectrometry
ICCG,Incomplete Conjugate Gradient
ICMS,Integrated Circuit Measurement System
ICP,Inductively-Coupled Plasma
ICP-AES,Inductively-Coupled Plasma Atomic Emission Spectroscopy
ICP-MS,Inductively-Coupled Plasma Mass Spectrometry
ICT,Ideal Cycle Time
ICW,Industrial City Water
ICs,Integrated Circuits
ID,Identity
IDA,Intentional Defect Array
IDDQ,Direct Drain Quiescent Current; Quiescent Supply Current
IDEAL,Initiating
IDL,Interface Definition Language; Implant Data Log
IDLH,Immediately Dangerous To Life Or Health
IDM,Integrated Device Manufacturer; Integrated Data Management
IDS,Interactive Diagnostic System
IEA,Ion Energy Analysis
IEC,Infused Emitter Coupling
IEDF,Ion Energy Distribution Function
IEDM,International Electron Devices Meeting
IEEE,Institute Of Electrical And Electronics Engineers
IEICE,Institute Of Electronics
IEM,Industry Economic Modeling
IEP,Interferometric Endpoint
IERN,Internal-External Recurrent Neural Network
IF,Interface; Intermediate Frequency
IFR,Increasing Failure Rate
IFS,Iterated Function System
IG,Intrinsic Gettering
IGBT,Insulated Gate Bipolar Transistor
IGFET,Insulated-Gate Field-Effect Transistor
IH,Industrial Hygiene
IHT,Ideal Handler Time
II,Ion Implant (Also I2)
IIAP,Imec Industrial Affiliation Programs
IITRI,Iit Research Institute
ILB,Inner Lead Bond
ILD,Interlevel Dielectric; Interlayer Dielectric
ILDS,Integrated Liquid Delivery System
ILS,Intracavity Laser Spectroscopy
IM,Integrated Model; Integrated Metrology; Integrated Measurement
IMAPS,International Microelectronics And Packaging Society
IMD,Intermetal Dielectric
IME,Institute Of Microelectronics
IMEC,Interuniversity Microelectronics Center
IMMA,Ion Microphobe Mass Analysis
IMP,Ion Metal Plasma
IMPATT,Impact Ionization Avalanche Transit Time
IMR,Integrated Model Repository
IMS,Ion Mobility Spectroscopy
INCAMS,Individual Cassette Manufacturing System
IOC,Input/Output Controller
IP,Intellectual Property; Image Placement; Internet Protocol
IPA,Isopropyl Alcohol
IPAD,Integrated Passive and Active Device
IPC,Interconnecting And Packaging Electronic Circuits
IPD,In-Plane Distortion
IPL,Ion Projection Lithography
IPO,Initial Public Offering
IPP,Inplane Distortion
IPS,Inductive Plasma Source
IPT,Ideal Process Time
IR,Infrared
IR-OBIRCH,Infrared Optical Beam-Induced Resistance Charge
IRAS,Infrared Reflection-Absorption Spectroscopy
IRC,International Roadmap Committee
IRED,Infrared Emitting Diode
IREM,Infrared Emission Microscopy
IRIS,Imaging Of Radicals Interacting With Surfaces
IRLAS,Infrared Laser Absorption Spectroscopy
IRLIT,IR Lock-in Thermography
IRM,Infrared Microscopy
IRN,Internal Recurrent Neural Network
IRONMAN,Improving Reliability Of New Machines At Night
IRPS,International Reliability Physics Symposium
IRTC-1,Interconnect Reliability Test Chip-1
IS,Information Systems; Interface Specifications; Integrated Systems
ISA,Instrumentation Society Of America; Instruction Set Architectures
ISC,Industry Steering Council
ISDN,Integrated Services Digital Network
ISEM,Inspection/Review Specific Equipment Model
ISM,Inductor Super Magnetron
ISMT,International Sematech
ISO,International Standards Organization
ISPM,In Situ Particle Monitor
ISR,In Situ Rinse
ISS,Ion Scattering Spectroscopy
ISSCC,International Solid State Circuits Conference
ISSG,In Situ Steam Generation
IST,Information Society Technologies
ISTFA,International Symposium for Testing and Failure Analysis
ITC,International Test Conference
ITO,Indium–Tin–Oxide
ITP,In-Target Probe
ITRI,Interconnection Technology Research Institute
ITRS,International Technology Roadmap For Semiconductors
ITU,Input Terminal Unit
ITWG,International Technology Working Group
IVH,Interstitial Via Hole
IVP,Integrated Vacuum Processing
IWN,Industrial Waste Neutralization
IYM,Integrated Yeild Management
Ic,Collector Current
Idd,Leak
Ids,Current Between Drain And Source
Ig,Gate Current
Igate,Gate Current
Imax,Maximum Via Current; Maximum Current
In,Indium
InGaAS,Indium Gallium Arsenide
Ioff,Off Current
Ion,On Current
Ir,Iridium
Isd,Leak
JAN,Joint Army-Navy
JDP,Joint Development Program
JEDEC,Joint Electron Device Engineering Council
JEIDA,Japanese Electronic Industries Development Association
JEITA,Japan Electronics And Information Technologies Association
JESSI,Joint European Submicron Silicon
JFET,Junction Field Effect Transistor
JFETs,Junction Field Effect Transistors
JIC,Joint Industrial Council
JIS,Japanese Industrial Standard
JIT,Just-In-Time
JJ,Josephson Junction
JJT,Josephson Junction Transistor
JSNM,Japan Society Of New Metals
JVD,Jet Vapor Deposition
Jmax,Maximum Junction Current Density
K,Potassium; Thousand
KBr,Potassium Bromide Crystal
KC,Kinematic Coupling
KDLOC,1000 Developed Source Lines Of Code
KGD,Known Good Die
KIT,Key Intelligence Topics
KPA,Key Process Area
KPFM,Kelvin Probe Force Microscope
KSIA,Korea Semiconductor Industry Association
KSLOC,1000 Source Lines Of Code
KWh,Kilowatt Hour
Kbps,Kilobits; Kilobits Per Second
KeV,Kilo Electron Volt
Kr,Krypton
L,Inductance
LA,Laser Anneal
LAMMA,Laser Micro-Mass Analysis
LAMMS,Laser Micro-Mass Spectroscopy
LAN,Local Area Network
LANL,Los Alamos National Laboratory
LAR,Lot Age Report
LASER,Light Amplification by Stimulated Emission of Radiation
LASOI,Large Area Soi
LBIC,Laser Beam Induced Current
LBNL,Lawrence Berkeley National Laboratory
LC,Liquid Chromatography; Lens Control
LCA,Lifecycle Analysis; Lifecycle Assessment
LCC,Leaded Chip Carrier; Lifecycle Costing
LCD,Liquid Crystal Display
LCI,Lifecycle Inventory
LCL,Lower Confidence Limit
LCR,Inductance
LCs,Liquid Crystals
LD,Laser Diode
LDA,Linear Discriminant Analysis
LDCC,Leaded Chip Carriers
LDD,Lightly Doped Drain
LDL,Lower Detection Limit
LDMOS,Laterally Diffused Metal Oxide Semiconductor
LDP,Low Density Plasma
LDPE,Low Density Polyethylene
LDS,Liquid Delivery System
LEC,Liquid Encapsulated Czochralski Crystal
LED,Light-Emitting Diode
LEDs,Characteristics Light Emitting Diodes
LEED,Low-Energy Electron Diffraction
LEL,Lower Explosive Limit
LEM,Light Emission Microscopy
LER,Line Edge Roughness
LF,Laminar Flow; Low Frequency
LFL,Lower Flammable Limit
LFSR,Linear Feedback Shift Registers
LGA,To Be Filled In
LGQ,Linear Gaussian Quadratic
LI,Laser Interferometry
LIC,Linear Integrated Circuit
LID,Leadless Inverted Device
LIDAR,Light Detection And Ranging Technology
LIFO ,Last In
LIFT,Laser Induce Forward Transfer
LIGA,Lithographie Galvanoformung
LIMA,Laser-Induced Mass Analysis
LIMS,Laser-Induced Mass Spectrometry
LIR,Location Inventory Report
LIT,Lock-in Thermography
LIVA,Light Induced Voltage Alteration
LKDM,Low K Dielectric Material
LLCC,Leadless Chip Carrier
LLD,Lower Limit Of Detection
LLM,Local Linear Models
LLNL,Lawrence Livermore National Laboratory
LLNQ,Least Lots Next Queue
LLS,Localized Light Scatterer
LM,Light Microscope
LMDS,Local Multiple Distributed Services
LMIS,Liquid Metal Ion Source
LMMA,Laser Microprobe Mass Analysis
LNA,Low Noise Amplifier
LOC,Level Of Concern
LOCOS,Local Oxidation Of Silicon
LOD,Limit Of Detection
LOP,Low Operating Power
LOS,Loss Of Selectivity; Line Of Sight
LOTO,Lockout/Tagout
LP,Low Power
LPC,Linear Predictive Coding; Laser Particle Counter; Low Particle Concentration; Liquid Particle Counter; Liquid-Borne Particle Counter
LPCVD,Low Pressure Chemical Vapor Deposition
LPD,Light Point Defect; Low-Pressure Dryer
LPE,Liquid Phase Epitaxy
LPI,Liquid Photo Image; Low Pressure Isolation
LPP,Laser-Produced Plasma
LPR,Laser Plasma Reflectometer
LPSM,Levenson Phase Shift Mask
LPT,Linear Polishing Technology
LPV,Low Pressure Vent
LRP,Long-Range Plan
LRS,Laser Raman Spectroscopy
LRVS,Linear Voltage Ramp Stress
LSB,Least Significant Bit
LSCVD,Liquid Source Misted Chemical Vapor Deposition
LSE,Latex Sphere Equivalent; Localized Scattering Effect
LSHI,Large-Scale Hybrid Integration
LSI,Large-Scale Integration
LSM,Laser Scanning Microscope
LSS,Localized Light Scatterers
LSTP,Low Standby Power
LTA,Laser Thermal Anneal
LTC,Lithographic Test Chip
LTCC,Low Temperature Co-Fired Ceramic
LTCVD,Low-Temperature Chemical Vapor Deposition
LTDR,Low Temperature Data Retention
LTEM,Low Thermal Expansion Material
LTI,Laser Thermal Implantation
LTL,Lot-To-Lot
LTO,Low-Temperature Oxidation (Or Oxide)
LTPD,Lot Tolerance Percent Defective
LTRM,Term Reliability Monitor
LTV,Local Thickness Variation
LUW,Logical Unit Of Work
LV,Latent Variable
LVDT,Linear Voltage Differential Transducer; Linear Variable Displacement Transducer; Linear Variable Differential Transformer
LVI,Low-Voltage Inverter
LVP,Laser Voltage Probe
LVRS,Linear Voltage Ramp Stress
LVS,Layout Verification Of Schematic
LWB,Lithography Workbench
LWR,Line Width Reduction
LWS,Large Wafer Study
La,Lanthanum
Leff,Effective Channel Length
Lgate,Gate Length
Li,Lithium
Lmin-digital,Minimum Channel Length For Low Operational Power Logic Device
Lr,Lawrencium
Lu,Lutetium
M,Million
MACT,Maximum Achievable Control Technology
MALDI,Matrix-Assisted Laser Desorption And Ionization
MAN,Metropolitan Area Network
MAP,Manufacturing Automation Protocol
MAWP,Maximum Allowable Working Pressure
MB,Machine Batch; Megabyte
MB/s,Megabits Per Second
MBB,Messerschmittb¨Olkow Blohm
MBC,Machine Bath Collection
MBE,Molecular Beam Epitaxy
MBL,Model-Based Library
MBMS,Molecular Beam Mass Spectrometry
MBP,Materials And Bulk Processes
MBPC,Model-Based Process Control
MBTC,Model-Based Temperature Control
MBX,Message Bus Exchange
MByte,Megabyte
MC,Multichip
MCA,Measurement Capability Analysis
MCBA,Mean Cycles Between Assists
MCBF,Mean Cycles Between Failures
MCBI,Mean Cycles Between Interrupts
MCBSE,Mean Cycles Between Scrap Event
MCM,Multichip Module; Manufacturing Cycle Management
MCOV,Maximum Continuous Operating Voltage
MCP,Master Control Processor; Multichip Package; Microchannel Plate
MCPs,Multichip Packages
MCR,Mechanical Cold Run
MCS,Material Control System
MCT,Mercury Cadmium Telluride
MCU,Microprocessor Control Unit; Mobile Calibration Unit
MCVD,Metal Chemical Vapor Deposition
MD,Molecular Dynamics
MD-MOS,Multi-Drain Metal-Oxide Semiconductor
MDC,Mechanical Dry Cycle
MDL,Minimum Detection Limit; Master Deliverables List
MDM,Metal-Dielectric-Metal
MDQ,Market-Driven Quality
MDS,Modify Device Status; Modeling Data Specification
MDU,Modular Dispensing Unit
MEBS,Medium Energy Backscattering Spectrometry
MED ,Modeling For Equipment Design
MEEF,Mask Error Enhancement Factor
MEF,Mask Error Factors; Mask Error Fault
MEM,Manufacturing Enterprise Model; Manufacturing Equipment Monitor
MEMS,Microelectromechanical System; Micromachines
MEMSs,Micro Electro Mechanical Systems
MERIE,Magnetically Enhanced Reactive Ion Etching
MES,Manufacturing Execution System
MESC,Modular Equipment Standards Committee; Modular Equipment Sub-Committee For Communications
MESFET,Metal-Semiconductor Field Effect Transistor
MET,Micro-Exposure Tool
METL,Multielement Two-Layer
METS,Materials And Equipment Trading Service
MFC,Mass Flow Controller
MFFT,To Be Filled In
MFLOPS,Million Floating Point Operations Per Second
MFM,Mass Flow Meter
MFS,Modified Fused Silica
MG,Manufactured Goods
MGC,Manufactured Goods Collection
MGE,Modulator Generalized Ellipsometry
MGT,MOS-Gated Thyristor
MHEMT,Metamorphic High Electron Mobility Transistor
MHI,Material Hazard Index
MHT,Mechanical Handling Test
MHz,Megahertz
MI,Metal Illumination
MIC,Monolithic Integrated Circuit; Microwave Integrated Circuit
MID,Material Id
MIE,Magnetron Ion Etching; Mask Inspection Enclosure
MIEL,International Conference On Microelectronics
MIL,Military Electronics
MIL-HDBK,Military Handbook
MIL-STD,Military Standard
MIM,Metal-Insulator-Metal
MIMAC,Measurement And Improvement Of Manufacturing Capacity
MIMD,Management Information Of Metrology Data
MIMO,Multi-Input
MIPs,Millions Of Instructions Per Second
MIS,Metal Insulator Silicon; Metal Insulator Semiconductor
MISFET,Metal Insulator Semiconductor
MJ,Multijunction 
ML2,Maskless Lithography
MLC,Multilevel Cell
MLCC,Multilayer Ceramic Capacitors
MLCCs,Studied Multilayer Ceramic Capacitors
MLE,Maximum Likelihood Estimation
MLL,Modify Lot Location
MLM,Multilevel Metal
MLP,Multi-Layer Perceptron
MLR,Message Log Report
MLV,Modify Logging Versions
MM,Manufacturing Methods; Machine Model
MMC,Manufacturing Methods Council
MMD,Microlithographic Mask Development Program
MMIC,Monolithic Microwave Integrated Circuit
MMICs,Gaas Monolithic Microwave Integrated Circuits
MMM,Material Movement Management
MMMC,Machine Material Movement Component
MMMS,Material Movement Management Standard
MMO,Multimodel Optimization
MMOS,Modified Mos
MMST,Microelectronics Manufacturing Science And Technology
MMU,Mass Memory Unit
MMU-DSP,Mass Memory Unit Digital Signal Processor
MMX,To Be Filled In
MNA,Match Network Analyzer
MNOS,Metal-Nitride-Oxide Semiconductor
MNPD,Maximum Non-Printable Defect
MNS,Metal-Nitride Semiconductor
MO,Metal-Organic
MOC,Model Of Computation
MOCVD,Metal-Organic Chemical Vapor Deposition
MODFETs,Modulation Doped Field Effect Transistors
MOEMS,Micro-Optical Electromechanical Systems
MOEMSs,Developed Towards Micro Optical Electromechanical Systems
MOP,Modify Operating Procedures
MOS,Metal-Oxide Semiconductor; Metal-Oxide-Silicon
MOS-C,Metal Oxide Semiconductor Capacitor
MOSCAP,Metal-Oxide Semiconductor Capacitor
MOSFET,Metal-Oxide Semiconductor Field Effect Transistor
MOST,Metal-Oxide Semiconductor Transistor
MOV,Metal Oxide Varistors
MOVs,Metal Oxide Varistors
MP,Massively Parallel
MP-OES,Multipoint Optical Emission Spectroscopy
MPP,Multiphase Printing
MPRES,Modular Plasma Reactor Simulator
MPU,Microprocessor Unit
MPX,Multiplex
MPa,Mega Pascal
MQCA,Magnetic Qca
MQW,Multi-Quantum Well
MR ,Magneto Resistance
MRAM,Magnetic Ram
MRF,Magnorheological Finishing
MRP,Materials Requirements Planning
MRP-II,Manufacturing Resource Planning
MRS,Materials Research Society; Mass Resolving Slit
MS,Mass Spectrometry; Mass Spectrometer; Mass Spectroscopy
MS/s,Megasamples Per Second
MSB,Most Significant Bit
MSD,Mass Selective Detector
MSDS,Material Safety Data Sheet
MSEM,Metrology Specific Equipment Model
MSFR,Mid-Spatial Frequency Roughness
MSG,Management Steering Group
MSHA,Mine Safety And Health Administration
MSI,Medium-Scale Integration; Manufacturing Support Item
MSID,Mass Spectrometer Lead Detector
MSL,Modify System Logging
MSLD,Mass Spectrometer Leak Detector
MSQ,Methyl Silsesquiozane
MSS,Modify System State
MST,Microsystem Technology
MSTAB,Manufacturing Systems Technical Advisory Board
MT,Multi-Technology Integration; Megatransfers Per Second
MT/s,Magatransfers Per Second
MTAS,Methyltriacetoxysilene
MTBA,Mean Time Between Assists
MTBAp,Mean (Productive) Time Between Assists
MTBC,Mean Time Between Cleans
MTBF,Mean Time Between Failures
MTBFp,Mean (Productive) Time Between Failures
MTBI ,Mean Time Between Interrupt; Mean Time Between Incident
MTBIp ,Mean (Productive) Time Between Interrupt
MTJ,Magnetic Tunnel Junction
MTOL,Mean Time Off Line; Mean Time On Line
MTS,Material Tracking Standard
MTTA ,Mean Time To Assist
MTTC,Mean Time To Correct
MTTCR,Mean Time To Correct And Recover
MTTF,Mean Time To Failure
MTTFF,Mean Time To First Failure
MTTR,Mean Time To Repair
MUL,Modify User Login
MUP,Modify User Password
MUX,Multiplex; Multiplexer
MV,Megavolt
MVC,Model View Controller
MVH,Micro Via Hole
MVTR,Moisture Vapor Transmission Rate
MW,Molecular Weight
MWBC,Mean Wafers Between Cleans
MWBF,Mean Wafers Between Failures
MWBI,Mean Wafers Between Interrupt
MWT,Monitor Wafer Turner
MaxFt,Maximum Frequency At Unity Current Gain
Mb ,Megabit
Md,Mendelevium
MeOx,Metal Oxide
MeV,Megaelectrovolt
MemBIST,To Be Filled In
Mg,Magnesium
Mn,Manganese
Mo,Molybdenum
Mpa,Mega Pascals
MtM,More than Moore
M€,Million Euro
N,Nitrogen
NA,Numerical Aperture
NAA,Neutron Activation Analysis
NAND,"""Nand"" Logic Gate; Not An “And” Logic Operation"
NASA,National Aeronautics And Space Administration
NBE,Neutral Beam Etching
NBT,Negative Bias Temperature
NBTI,Negative Temperature Bias Instability
NCF,Nonconductive Film
NCMS,National Center For Manufacturing And Science
NCS,Network Communication Standard
NDA,Nondisclosure Agreement
NDC,Nitrogen-Doped Carbide
NDE,Non-Destructive Evaluation
NDE ,Nondestructive Evaluation
NDIR ,Nondispersive Infrared Spectroscopy
NDP,Neutron Depth Profiling
NDR ,Negative Differential Resistance Regime
NDRO,Nondestructive Readout
NDT,Nondestructive Testing
NDUV,Nondispersive Ultraviolet Spectroscopy
NEA,Noise Equivalent Absorbance
NEC,National Electric Code
NEMI,National Electronics Manufacturers Institute
NEMS,Nanoeletro-Mechanical Systems
NEMSs,Nanoelectromechanical Systems
NESHAP,National Emissions Standards For Hazardous Air Pollutants
NF,Noise Figure
NFET,N Channel Field Effect Transistor
NFF,No Fault Found
NFGM,Nanofloating Gate Memory
NFOM,Near Field Optical Microscopy
NFPA,National Fire Protection Association
NFmin,Noise Figure Minimum
NGL,Next Generation Lithography
NGL-MCOC,Next Generation Lithography - Mask Center Of Competence
NIL,Network Nanoimprint Lithography
NILS,Normalized Image Log Shape
NIRA,Near Infrared Reflection Analysis
NIST,National Institute Of Standards And Technology
NMOS,Negative Channel Metal-Oxide Semiconductor
NMOSFET,Negative Channel Metal-Oxide Semiconductor Field Effect Transistor
NMR,Nuclear Magnetic Resonance
NN,Neural Network
NOM,Nomarski Optical Microscopy
NOR,"""Nor"" Logic Gate; Not An “Or” Logic Operation"
NP,Nutrification Potential
NPN,Negative-Positive-Negative; N-Type Emitter/P-Type Base/N-Type Collector Bipolar Transistor
NPV,Net Present Value
NPW,Nonproduct Wafer
NRA,Nuclear Reaction Analysis
NRDD,Non-Referential Defect Detection
NRE,Nonrecurring Engineering
NRZ,Non-Return To Zero
NSE,Neutral Stream Etch
NSF,National Science Foundation
NSOM,Near-field Scanning Optical
NTF,No Troubled Found
NTP,Normal Temperature And Pressure
NTRM,Nist Traceable Reference Materials [Tm]
NTRS,National Technology Roadmap For Semiconductors
NTU,Nephelometric Turbidity Units
NVD,Non-Visual Defect
NVM,Non-Volatile Memory
NVR,Nonvolatile Residue
NWL,Next Wavelength
Na,Sodium
Nb,Niobium
Nd,Neodymium
Ne,Neon
Ni,Nickel
NiCr,Nickel Chromium
No,Nobelium
Np,Neptunium
O,Oxygen
O-D,Zero Dimensional
OAI,Off-Axis Illumination
OAPVD,Oblique Angle Physical Vapour Deposition
OBA,Object Behavior Analysis
OBEM,Object-Based Equipment Model
OBIC,Optical Beam Induced Current
OBIRCH,Optical Beam Induced Resistance Change
OBL,Object-Based Language
OC,Open Cassette
OCR,Optical Character Recognition
OD,Outside Diameter; Optical Density
ODBC,Open Database Connectivity
ODC,Oxygen-Doped Carbide
ODP,Ozone Depletion Potential
ODS,Ozone-Depleting Substances
OEBR,Optical Edge Bead Removal
OEE,Overall Equipment Effectiveness; Overall Equipment Efficiency
OEL,Occupational Exposure Limit
OEM,Original Equipment Manufacturer
OES,Optical Emission Spectroscopy
OFA,Oil-Free Air
OFE,Overall Factory Effectiveness
OFET,Organic FET
OHS,Overhead Hoist Shuttle
OHT,Overhead Transport; Overhead Hoist Transport
OHV,Overhead Vehicle
OHVC,Overhead Hoist Vehicle Controller
OID,Object Interaction Diagram; Object Identification
